Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,wfef
1514001600,2017-12-23 04-AM,BTCUSD,14020,14187,13751,13892,1894.43,26493626.43,25060
1514005200,2017-12-23 05-AM,BTCUSD,13892,14042,13393,13562,2555.2,34921482.91,25059
1514008800,2017-12-23 06-AM,BTCUSD,13562,13599,13043.47,13593,2033.37,27116829.16,25058
1514012400,2017-12-23 07-AM,BTCUSD,13593,14023,13515,13773,2226.09,30813227.84,25057
1514016000,2017-12-23 08-AM,BTCUSD,13773,14180,13724,13894,1444.79,20228511.87,25056
1514019600,2017-12-23 09-AM,BTCUSD,13894,14099,13650,14070,1514.89,20998083.75,25055
1514023200,2017-12-23 10-AM,BTCUSD,14070,14380,13800,14308,2128.42,29973010.87,25054
1514026800,2017-12-23 11-AM,BTCUSD,14308,14710,14224,14705,3438.81,49739712.11,25053
1514030400,2017-12-23 12-PM,BTCUSD,14705,14705,14251,14490,2845.04,41190428.83,25052
1514034000,2017-12-23 01-PM,BTCUSD,14490,14650,14335,14533,2424.45,35209918.02,25051
1514037600,2017-12-23 02-PM,BTCUSD,14533,14869,14527,14850,2868.11,42362038.97,25050
1514041200,2017-12-23 03-PM,BTCUSD,14850,14961,14151,14408,4602.07,67343447.51,25049
1514044800,2017-12-23 04-PM,BTCUSD,14401,14800,14244,14799,2317.81,33689124.51,25048
1514048400,2017-12-23 05-PM,BTCUSD,14799,14800,14338.68,14660,2854.77,41656095.29,25047
1514052000,2017-12-23 06-PM,BTCUSD,14660,14800,14280,14380,1777.55,25882782.61,25046
1514055600,2017-12-23 07-PM,BTCUSD,14380,14520,14291,14460,1137.86,16413477.89,25045
1514059200,2017-12-23 08-PM,BTCUSD,14460,14775,14388,14730,1376.66,20113522.33,25044
1514062800,2017-12-23 09-PM,BTCUSD,14730,14953,14709,14844,1706.95,25346955.74,25043
1514066400,2017-12-23 10-PM,BTCUSD,14844,14999,14300,14403,3019.66,44601019.01,25042
1514070000,2017-12-23 11-PM,BTCUSD,14403,14660,13716,14035,4584.93,64719194.04,25041
1514073600,2017-12-24 12-AM,BTCUSD,14035,14050,13516,13883,3657.76,50310489.21,25040
1514077200,2017-12-24 01-AM,BTCUSD,13883,13996,13223,13401,3104.99,42079471.78,25039
1514080800,2017-12-24 02-AM,BTCUSD,13401,13499,12800,12820,4445.47,58630392.12,25038
1514084400,2017-12-24 03-AM,BTCUSD,12820,13651,12800,13378,2995.42,39785068.4,25037
