Datetime,stock_price,portfolio_value,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-10 05:00:00+00:00,10.300406455993652,1022.0223312842086,29.861205296115926,714.4397794683442,307.58255181586435,buy,10.300406455993652,
2021-03-10 05:30:00+00:00,10.328807830810547,1022.8702490840975,29.50979163209618,718.0692821889149,304.80096689518257,sell,,10.328807830810547
2021-03-10 06:00:00+00:00,10.320565223693848,1022.6269062094569,29.611778412194994,717.016615716829,305.6102904926279,buy,10.320565223693848,
2021-03-10 06:30:00+00:00,10.335071563720703,1023.0563719844715,29.432289703172316,718.8715516180256,304.1848203664459,sell,,10.335071563720703
2021-03-10 07:00:00+00:00,10.40164566040039,1025.0153716776117,28.608560310005856,727.4392644787364,297.57610719887526,sell,,10.40164566040039
2021-03-10 07:30:00+00:00,10.439417839050293,1026.0957353803674,28.141200550735533,732.3179843387269,293.77775104164044,sell,,10.439417839050293
2021-03-10 08:00:00+00:00,10.418399810791016,1025.503991892475,28.40125917003411,729.608318729165,295.89567316330994,buy,10.418399810791016,
2021-03-10 08:30:00+00:00,10.405345916748047,1025.1330768001217,28.562776588290774,727.9275060561635,297.2055707439581,buy,10.405345916748047,
2021-03-10 09:00:00+00:00,10.410356521606444,1025.2761613168125,28.500779765123013,728.5728828180952,296.70327849871734,sell,,10.410356521606444
2021-03-10 09:30:00+00:00,10.41087245941162,1025.2908626235442,28.494396003925118,728.6393400187117,296.6515226048325,sell,,10.41087245941162
2021-03-10 10:00:00+00:00,10.3208589553833,1022.7248327104271,29.608144034285658,717.1433542018913,305.5814785085358,buy,10.3208589553833,
2021-03-10 10:30:00+00:00,10.276687622070312,1021.4164398522216,30.15468131229521,711.5261996626825,309.89024018953916,buy,10.276687622070312,
2021-03-10 11:00:00+00:00,10.228734970092773,1019.9698360183713,30.748005305923385,705.4566388850747,314.51319713329667,buy,10.228734970092773,
2021-03-10 11:30:00+00:00,10.256643295288086,1020.827784261891,30.4026922048229,708.9982151005869,311.8295691613041,sell,,10.256643295288086
2021-03-10 12:00:00+00:00,10.31560230255127,1022.6199205472286,29.673185238948918,716.5231425722968,306.0967779749318,sell,,10.31560230255127
2021-03-10 12:30:00+00:00,10.346845626831056,1023.5468095032032,29.286607788663446,720.5227997803545,303.02400972284875,sell,,10.346845626831056
2021-03-10 13:00:00+00:00,10.364114761352539,1024.0524531461565,29.072934687422105,722.7372215964067,301.3152315497497,sell,,10.364114761352539
2021-03-10 13:30:00+00:00,10.383604049682617,1024.618938756036,28.831791353151687,725.2410333018458,299.3779054541901,sell,,10.383604049682617
2021-03-10 14:00:00+00:00,10.408382415771484,1025.3331838841027,28.525205616656564,728.4319353374286,296.90124854667414,sell,,10.408382415771484
2021-03-10 14:30:00+00:00,10.424415588378906,1025.790430029433,28.326825222462276,730.4998316111127,295.29059841832054,sell,,10.424415588378906
2021-03-10 15:00:00+00:00,10.45394515991211,1026.6267180616942,27.96145224329075,734.3192297188311,292.30748834286294,sell,,10.45394515991211
2021-03-10 15:30:00+00:00,10.422242164611816,1025.7398474445372,28.353717259005748,730.2305399042456,295.5093075402915,buy,10.422242164611816,
2021-03-10 16:00:00+00:00,10.47748565673828,1027.3058477145737,27.670182813699313,737.391904164713,289.9139435498606,sell,,10.47748565673828
