Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell
2021-03-12 15:00:00+00:00,1761.391357421875,1115.173875078831,8.824278646347011,0.6331210099220064,0.0,1115.173875078831,hold,,
2021-03-12 15:30:00+00:00,1777.0906982421875,1125.1134575940973,9.939582515266238,0.6331210099220064,0.0,1125.1134575940973,hold,,
2021-03-12 16:00:00+00:00,1775.5504150390625,1124.1382719369687,-0.9751856571285771,0.6331210099220064,0.0,1124.1382719369687,hold,,
2021-03-12 16:30:00+00:00,1775.5823974609375,1124.158520680206,0.02024874323728909,0.6331210099220064,0.0,1124.158520680206,hold,,
2021-03-12 17:00:00+00:00,1778.2325439453125,1125.8363840988347,1.6778634186287036,0.6331210099220064,0.0,1125.8363840988347,hold,,
2021-03-12 17:30:00+00:00,1766.6424560546875,1118.4984559484376,-7.337928150397147,0.6331210099220064,0.0,1118.4984559484376,hold,,
2021-03-12 18:00:00+00:00,1777.5538330078125,1125.4066779446398,6.908221996202201,0.6331210099220064,0.0,1125.4066779446398,hold,,
2021-03-12 18:30:00+00:00,1776.416259765625,1124.6864564246857,-0.720221519954066,0.6331210099220064,0.0,1124.6864564246857,hold,,
2021-03-12 19:00:00+00:00,1755.9539794921875,1111.7313568726597,-12.955099552026013,0.6331210099220064,0.0,1111.7313568726597,hold,,
2021-03-12 19:30:00+00:00,1745.9112548828125,1105.3730969256037,-6.358259947056013,0.6331210099220064,0.0,1105.3730969256037,hold,,
2021-03-12 20:00:00+00:00,1735.845703125,1099.0003846312752,-6.372712294328494,0.6331210099220064,0.0,1099.0003846312752,hold,,
2021-03-12 20:30:00+00:00,1746.1309814453125,1105.5122104287605,6.511825797485244,0.6331210099220064,0.0,1105.5122104287605,hold,,
2021-03-12 21:00:00+00:00,1747.9154052734375,1106.6419666449517,1.1297562161912538,0.6331210099220064,0.0,1106.6419666449517,hold,,
2021-03-12 21:30:00+00:00,1759.5396728515625,1114.001534673618,7.359568028666217,0.6331210099220064,0.0,1114.001534673618,hold,,
2021-03-12 22:00:00+00:00,1767.146240234375,1118.817412297064,4.815877623446113,0.6331210099220064,0.0,1118.817412297064,hold,,
2021-03-12 22:30:00+00:00,1759.672607421875,1114.0578462005692,-4.7595660964948365,0.0,1114.0578462005692,0.0,sell,,1759.672607421875
2021-03-12 23:00:00+00:00,1770.44970703125,1114.029994754414,-0.027851446155182202,0.6292356062587382,0.0,1114.029994754414,buy,1770.44970703125,
2021-03-12 23:30:00+00:00,1773.3341064453125,1115.8170654443747,1.7870706899607285,0.0,1115.8170654443747,0.0,sell,,1773.3341064453125
2021-03-13 00:00:00+00:00,1747.98876953125,1115.7891700177386,-0.027895426636177945,0.6383274249049978,0.0,1115.7891700177386,buy,1747.98876953125,
2021-03-13 00:30:00+00:00,1754.12255859375,1119.7045357949146,3.915365777176021,0.6383274249049978,0.0,1119.7045357949146,hold,,
2021-03-13 01:00:00+00:00,1734.5284423828125,1107.1970740506977,-12.507461744216926,0.6383274249049978,0.0,1107.1970740506977,hold,,
2021-03-13 01:30:00+00:00,1742.6064453125,1112.35348485918,5.156410808482406,0.6383274249049978,0.0,1112.35348485918,hold,,
2021-03-13 02:00:00+00:00,1743.145751953125,1112.6977390783243,0.3442542191442044,0.6383274249049978,0.0,1112.6977390783243,hold,,
2021-03-13 02:30:00+00:00,1751.07421875,1117.7586968722185,5.060957793894204,0.6383274249049978,0.0,1117.7586968722185,hold,,
2021-03-13 03:00:00+00:00,1757.6212158203125,1121.9378246529716,4.179127780753106,0.6383274249049978,0.0,1121.9378246529716,hold,,
2021-03-13 03:30:00+00:00,1759.7301025390625,1123.2559027819455,1.3180781289738661,0.0,1123.2559027819455,0.0,sell,,1759.7301025390625
2021-03-13 04:30:00+00:00,1766.5235595703125,1123.2278213843758,-0.028081397569621913,0.635840838521049,0.0,1123.2278213843758,buy,1766.5235595703125,
2021-03-13 05:00:00+00:00,1776.1954345703125,1129.3775944944466,6.149773110070782,0.635840838521049,0.0,1129.3775944944466,hold,,
2021-03-13 05:30:00+00:00,1772.0325927734375,1126.730689675691,-2.6469048187555018,0.635840838521049,0.0,1126.730689675691,hold,,
2021-03-13 06:00:00+00:00,1769.476318359375,1125.1053060087636,-1.6253836669275188,0.635840838521049,0.0,1125.1053060087636,hold,,
2021-03-13 06:30:00+00:00,1772.199462890625,1126.8367925109276,1.731486502163989,0.635840838521049,0.0,1126.8367925109276,hold,,
2021-03-13 07:00:00+00:00,1769.368896484375,1125.037002793688,-1.7997897172394914,0.635840838521049,0.0,1125.037002793688,hold,,
2021-03-13 07:30:00+00:00,1783.6929931640625,1134.1164948163462,9.079492022658087,0.0,1134.1164948163462,0.0,sell,,1783.6929931640625
2021-03-13 08:00:00+00:00,1783.409912109375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 08:30:00+00:00,1785.560546875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 09:00:00+00:00,1787.7161865234375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 09:30:00+00:00,1790.6002197265625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 10:00:00+00:00,1830.0113525390625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 10:30:00+00:00,1852.4764404296875,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 11:00:00+00:00,1871.6943359375,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 11:30:00+00:00,1873.8931884765625,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 12:00:00+00:00,1895.3790283203125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
2021-03-13 12:30:00+00:00,1882.82080078125,1134.1164948163462,0.0,0.0,1134.1164948163462,0.0,hold,,
