Date,stock_price,portfolio_value,current_val,stock_owned,cash_in_hand,stock_value,sell_buy,marker_buy,marker_sell,bechmark,benchmark
2018-09-07,39.56999969482422,1062.603372929261,0.0,0.0,1062.603372929261,0.0,hold,,,2871.679931640625,2871.679931640625
2018-09-10,39.25,1062.603372929261,0.0,0.0,1062.603372929261,0.0,hold,,,2877.1298828125,2877.1298828125
2018-09-11,39.290000915527344,1062.5502427606145,-0.053130168646475795,27.04378259102296,0.0,1062.5502427606145,buy,39.290000915527344,,2887.889892578125,2887.889892578125
2018-09-12,39.900001525878906,1079.0469666473534,16.49672388673889,27.04378259102296,0.0,1079.0469666473534,hold,,,2888.919921875,2888.919921875
2018-09-13,40.099998474121094,1084.4556406344834,5.408673987129987,27.04378259102296,0.0,1084.4556406344834,hold,,,2904.179931640625,2904.179931640625
2018-09-14,40.27000045776367,1089.0531373201559,4.597496685672468,27.04378259102296,0.0,1089.0531373201559,hold,,,2904.97998046875,2904.97998046875
2018-09-17,40.13999938964844,1085.5374166974466,-3.5157206227092956,27.04378259102296,0.0,1085.5374166974466,hold,,,2888.800048828125,2888.800048828125
2018-09-18,41.15999984741211,1113.0107751112193,27.473358413772758,0.0,1113.0107751112193,0.0,sell,,41.15999984741211,2904.31005859375,2904.31005859375
2018-09-19,42.209999084472656,1113.0107751112193,0.0,0.0,1113.0107751112193,0.0,hold,,,2907.949951171875,2907.949951171875
2018-09-20,43.15999984741211,1112.9551245724638,-0.05565053875557169,25.786726795811077,0.0,1112.9551245724638,buy,43.15999984741211,,2930.75,2930.75
2018-09-21,44.040000915527344,1135.5339069488036,22.57878237633986,0.0,1135.5339069488036,0.0,sell,,44.040000915527344,2929.669921875,2929.669921875
2018-09-24,43.939998626708984,1135.5339069488036,0.0,0.0,1135.5339069488036,0.0,hold,,,2919.3701171875,2919.3701171875
2018-09-25,44.7599983215332,1135.4771302534562,-0.0567766953474802,25.36812271744879,0.0,1135.4771302534562,buy,44.7599983215332,,2915.56005859375,2915.56005859375
2018-09-26,43.93000030517578,1114.421638719262,-21.05549153419406,25.36812271744879,0.0,1114.421638719262,hold,,,2905.969970703125,2905.969970703125
2018-09-27,43.7400016784668,1109.6017302407618,-4.819908478500338,25.36812271744879,0.0,1109.6017302407618,hold,,,2914.0,2914.0
2018-09-28,43.97999954223633,1115.690025500793,6.0882952600311455,25.36812271744879,0.0,1115.690025500793,hold,,,2913.97998046875,2913.97998046875
2018-10-01,44.369998931884766,1125.5835778771245,9.893552376331627,25.36812271744879,0.0,1125.5835778771245,hold,,,2924.590087890625,2924.590087890625
2018-10-02,44.47999954223633,1128.3740868595173,2.7905089823927938,25.36812271744879,0.0,1128.3740868595173,hold,,,2923.429931640625,2923.429931640625
2018-10-03,44.06999969482422,1117.9731604162316,-10.400926443285698,25.36812271744879,0.0,1117.9731604162316,hold,,,2925.510009765625,2925.510009765625
2018-10-04,44.130001068115234,1119.4952826170936,1.5221222008619861,25.36812271744879,0.0,1119.4952826170936,hold,,,2901.610107421875,2901.610107421875
2018-10-05,43.11000061035156,1093.6197858326907,-25.875496784402912,25.36812271744879,0.0,1093.6197858326907,hold,,,2885.570068359375,2885.570068359375
2018-10-08,42.959999084472656,1089.81452871639,-3.8052571163007087,25.36812271744879,0.0,1089.81452871639,hold,,,2884.429931640625,2884.429931640625
2018-10-09,43.15999984741211,1094.7786837969602,4.964155080570208,0.0,1094.7786837969602,0.0,sell,,43.15999984741211,2880.340087890625,2880.340087890625
2018-10-10,41.58000183105469,1094.7786837969602,0.0,0.0,1094.7786837969602,0.0,hold,,,2785.679931640625,2785.679931640625
2018-10-11,41.599998474121094,1094.7239448627704,-0.05473893418979969,26.315480409062666,0.0,1094.7239448627704,buy,41.599998474121094,,2728.3701171875,2728.3701171875
2018-10-12,41.689998626708984,1097.0923421150096,2.3683972522392196,26.315480409062666,0.0,1097.0923421150096,hold,,,2767.1298828125,2767.1298828125
2018-10-15,42.0,1105.250177180632,8.157835065622294,26.315480409062666,0.0,1105.250177180632,hold,,,2750.7900390625,2750.7900390625
2018-10-16,42.400001525878906,1115.7764094984934,10.526232317861513,26.315480409062666,0.0,1115.7764094984934,hold,,,2809.919921875,2809.919921875
2018-10-17,41.63999938964844,1095.7765881716748,-19.99982132681862,26.315480409062666,0.0,1095.7765881716748,hold,,,2809.2099609375,2809.2099609375
2018-10-18,40.4900016784668,1065.5138459326074,-30.262742239067393,26.315480409062666,0.0,1065.5138459326074,hold,,,2768.780029296875,2768.780029296875
2018-10-19,40.689998626708984,1070.776861705947,5.263015773339703,26.315480409062666,0.0,1070.776861705947,hold,,,2767.780029296875,2767.780029296875
2018-10-22,41.060001373291016,1080.5136617349258,9.736800028978678,26.315480409062666,0.0,1080.5136617349258,hold,,,2755.8798828125,2755.8798828125
2018-10-23,40.20000076293945,1057.8823325214373,-22.63132921348847,26.315480409062666,0.0,1057.8823325214373,hold,,,2740.68994140625,2740.68994140625
2018-10-24,38.2400016784668,1006.3040150122165,-51.578317509220824,26.315480409062666,0.0,1006.3040150122165,hold,,,2656.10009765625,2656.10009765625
2018-10-25,39.040000915527344,1027.2536436244222,20.949628612205743,0.0,1027.2536436244222,0.0,sell,,39.040000915527344,2705.570068359375,2705.570068359375
2018-10-26,39.220001220703125,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2658.68994140625,2658.68994140625
2018-10-29,39.02000045776367,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2641.25,2641.25
2018-10-30,39.540000915527344,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2682.6298828125,2682.6298828125
2018-10-31,40.25,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2711.739990234375,2711.739990234375
2018-11-01,42.15999984741211,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2740.3701171875,2740.3701171875
2018-11-02,41.90999984741211,1027.2536436244222,0.0,0.0,1027.2536436244222,0.0,hold,,,2723.06005859375,2723.06005859375
