Date,High,Low,Open,Close,Volume,Adj Close
2017-07-11,256270,252254,255200,255500,7,255500
2017-07-12,256132,254500,255500,256000,7,256000
2017-07-13,256300,255180,256300,256000,5,256000
2017-07-14,256262,254400,255149,256020,4,256020
2017-07-17,257665,255650,255950,256200,4,256200
2017-07-18,256880,255860,256390,256100,2,256100
2017-07-19,257786,256600,256600,257500,2,257500
2017-07-20,258300,257415,257800,257651,2,257651
2017-07-21,257779,256540,257779,257645,3,257645
2017-07-24,258210,257020,257644,257689,2,257689
2017-07-25,260060,258660,258730,259410,4,259410
2017-07-26,260741,259300,259600,259600,2,259600
2017-07-27,259860,258760,259390,259709,2,259709
2017-07-28,261560,258472,259820,261026,2,261026
2017-07-31,263441,261370,261604,262786,3,262786
2017-08-01,264500,262700,263929,264321,1,264321
2017-08-02,266950,264500,264680,266730,3,266730
2017-08-03,268430,266201,266625,268370,3,268370
2017-08-04,270000,268160,268600,270000,3,270000
2017-08-07,267610,265850,266350,266985,2,266985
2017-08-08,267360,264566,266860,264566,2,264566
2017-08-09,267225,263270,263390,267030,3,267030
2017-08-10,266711,264601,265730,264601,2,264601
2017-08-11,265500,263000,264660,263000,2,263000
2017-08-14,266543,265000,265000,266370,2,266370
2017-08-15,267380,266012,267100,266795,3,266795
2017-08-16,268700,266590,267000,267856,3,267856
2017-08-17,268440,266636,268100,267075,6,267075
2017-08-18,268761,265612,266100,267377,5,267377
2017-08-21,268614,266600,267301,268540,3,268540
2017-08-22,271369,268252,268252,270960,3,270960
2017-08-23,271199,269000,269000,270430,2,270430
2017-08-24,270630,267590,270500,268565,3,268565
2017-08-25,270550,268820,268820,269761,2,269761
2017-08-28,270400,267450,270400,268035,3,268035
2017-08-29,268160,266045,267250,268090,3,268090
2017-08-30,271470,268100,268450,270420,3,270420
2017-08-31,272857,270985,271000,271450,2,271450
2017-09-01,272885,271040,272800,271062,2,271062
2017-09-05,270395,264600,270350,265744,5,265744
2017-09-06,266859,265160,266500,265420,4,265420
2017-09-07,265760,259040,265760,260500,6,260500
2017-09-08,263820,260490,260500,263600,2,263600
2017-09-11,268880,266100,267005,266870,2,266870
2017-09-12,268000,266798,267400,267911,2,267911
2017-09-13,268570,266890,267100,268450,2,268450
2017-09-14,268620,267760,268400,268322,2,268322
2017-09-15,270510,268680,268800,270200,4,270200
2017-09-18,272580,270340,270980,272480,3,272480
2017-09-19,274850,271950,271950,274850,3,274850
2017-09-20,275820,273730,275040,275630,7,275630
2017-09-21,275740,274600,275475,274600,3,274600
2017-09-22,274200,272000,274165,273139,2,273139
2017-09-25,273861,271250,273379,273660,2,273660
2017-09-26,274270,272600,273700,272800,2,272800
2017-09-27,275745,273801,274260,274940,2,274940
2017-09-28,275945,273825,275870,274770,1,274770
2017-09-29,274950,273755,274900,274740,2,274740
2017-10-02,278010,274500,274999,278010,2,278010
2017-10-03,279660,277000,278200,278700,2,278700
2017-10-04,279960,278385,279200,278670,1,278670
2017-10-05,282000,278780,279350,280360,3,280360
2017-10-06,281180,279280,281030,281000,2,281000
2017-10-09,281700,280000,281460,281089,1,281089
2017-10-10,282270,280800,281000,281950,3,281950
2017-10-11,282100,279760,282100,281085,2,281085
2017-10-12,281800,278980,281410,279383,2,279383
2017-10-13,281930,279780,280240,280850,2,280850
2017-10-16,282880,281410,281800,281960,3,281960
2017-10-17,283000,279900,283000,281050,2,281050
2017-10-18,282130,280790,281715,281290,1,281290
2017-10-19,280960,279700,280500,280815,2,280815
2017-10-20,283390,281460,281780,283353,2,283353
2017-10-23,284575,283220,283520,284198,2,284198
2017-10-24,285950,284335,284800,284570,3,284570
2017-10-25,285350,281600,285350,283035,3,283035
2017-10-26,284640,281870,284290,282810,2,282810
2017-10-27,282799,280660,282700,281600,2,281600
2017-10-30,282790,281190,282150,281940,2,281940
2017-10-31,282100,279690,282100,280470,3,280470
2017-11-01,282200,280000,282200,280000,3,280000
2017-11-02,283434,278930,280000,283434,2,283434
2017-11-03,282699,280470,282699,280470,1,280470
2017-11-06,281320,278000,279630,280170,2,280170
2017-11-07,282290,278750,281600,279361,2,279361
2017-11-08,279900,276600,279900,276676,3,276676
2017-11-09,276895,272795,276100,276556,4,276556
2017-11-10,275660,273213,275281,275660,2,275660
2017-11-13,277290,274815,275200,276347,1,276347
2017-11-14,275860,273930,275570,274810,2,274810
2017-11-15,274110,272150,273700,272730,2,272730
2017-11-16,275200,272660,273680,272700,1,272700
2017-11-17,272540,270250,272300,271410,3,271410
2017-11-20,272950,270800,271640,272005,1,272005
2017-11-21,275258,272600,272600,275000,3,275000
2017-11-22,275050,273390,275050,275000,6,275000
2017-11-24,275220,274000,274800,274417,2,274417
2017-11-27,276470,274450,275000,276230,3,276230
2017-11-28,281876,276540,276540,280440,4,280440
2017-11-29,287900,281700,281700,284900,5,284900
2017-11-30,291500,284650,284650,291500,6,291500
2017-12-01,292170,284750,290634,291000,5,291000
2017-12-04,299080,294450,294450,295490,6,295490
2017-12-05,297000,293320,297000,294105,4,294105
2017-12-06,295130,292300,293581,294146,2,294146
2017-12-07,295000,292580,294000,294100,1,294100
2017-12-08,295560,292910,295320,294385,2,294385
2017-12-11,295480,293100,295021,295480,4,295480
2017-12-12,299790,296000,296500,298630,3,298630
2017-12-13,299320,296026,298180,296180,3,296180
2017-12-14,297000,293990,296750,295815,2,295815
2017-12-15,298880,296080,297080,296280,5,296280
2017-12-18,300300,298150,298150,299360,4,299360
2017-12-19,301000,296740,301000,296992,4,296992
2017-12-20,299990,296260,298600,296500,4,296500
2017-12-21,299200,297260,297560,298200,2,298200
2017-12-22,298829,295710,298650,296400,2,296400
2017-12-26,297800,296000,296400,296370,1,296370
2017-12-27,298120,296000,296020,298120,1,298120
2017-12-28,299910,298200,298611,299210,2,299210
2017-12-29,300000,297540,300000,297600,3,297600
2018-01-02,298000,294000,297400,295755,3,295755
2018-01-03,299920,295801,296200,299905,2,299905
2018-01-04,302980,300000,300450,300516,5,300516
2018-01-05,302430,297900,302200,301525,3,301525
2018-01-08,304530,299500,299500,304180,5,304180
2018-01-09,306280,303880,305784,304500,6,304500
2018-01-10,308600,303930,304625,308350,4,308350
2018-01-11,310760,308800,309000,309950,4,309950
2018-01-12,315390,309910,310100,315225,4,315225
2018-01-16,321060,313980,319620,315261,5,315261
2018-01-17,323630,315561,317800,321469,3,321469
2018-01-18,324300,319620,324300,320000,6,320000
2018-01-19,321000,318191,320800,320238,4,320238
2018-01-22,324064,320085,320130,324064,4,324064
2018-01-23,324619,319393,324500,322885,4,322885
2018-01-24,325230,322000,323551,323480,3,323480
